exact,numeric
3.000000000000e+00,2.982004415473e+00
7.000000000000e+00,6.976160455631e+00
1.100000000000e+01,1.104300215982e+01
1.500000000000e+01,1.553736469109e+01
1.900000000000e+01,2.099518916532e+01
2.300000000000e+01,2.766886301061e+01
2.700000000000e+01,3.559503294898e+01
3.100000000000e+01,4.476771071857e+01
3.500000000000e+01,5.517973244792e+01
3.900000000000e+01,6.682634612165e+01
4.300000000000e+01,7.970446571085e+01
4.700000000000e+01,9.381196203595e+01
5.100000000000e+01,1.091472446105e+02
5.500000000000e+01,1.257090270777e+02
5.900000000000e+01,1.434961935411e+02
6.300000000000e+01,1.625077200446e+02
6.700000000000e+01,1.827426269367e+02
7.100000000000e+01,2.041999490727e+02
7.500000000000e+01,2.268787166494e+02
7.900000000000e+01,2.507779425650e+02
8.300000000000e+01,2.758966138935e+02
8.700000000000e+01,3.022336860188e+02
9.100000000000e+01,3.297880785267e+02
9.500000000000e+01,3.585586722820e+02
9.900000000000e+01,3.885443073215e+02
1.030000000000e+02,4.197437813156e+02
1.070000000000e+02,4.521558484358e+02
1.110000000000e+02,4.857792185124e+02
1.150000000000e+02,5.206125564065e+02
1.190000000000e+02,5.566544815391e+02
1.230000000000e+02,5.939035675380e+02
1.270000000000e+02,6.323583419754e+02
1.310000000000e+02,6.720172861720e+02
1.350000000000e+02,7.128788350566e+02
1.390000000000e+02,7.549413770651e+02
1.430000000000e+02,7.982032540735e+02
1.470000000000e+02,8.426627613570e+02
1.510000000000e+02,8.883181475701e+02
1.550000000000e+02,9.351676147437e+02
1.590000000000e+02,9.832093182969e+02
1.630000000000e+02,1.032441367060e+03
1.670000000000e+02,1.082861823308e+03
1.710000000000e+02,1.134468702803e+03
1.750000000000e+02,1.187259974841e+03
1.790000000000e+02,1.241233562311e+03
1.830000000000e+02,1.296387341750e+03
1.870000000000e+02,1.352719143416e+03
1.910000000000e+02,1.410226751352e+03
1.950000000000e+02,1.468907903462e+03
1.990000000000e+02,1.528760291590e+03
2.030000000000e+02,1.589781561600e+03
2.070000000000e+02,1.651969313459e+03
2.110000000000e+02,1.715321101326e+03
2.150000000000e+02,1.779834433640e+03
2.190000000000e+02,1.845506773215e+03
2.230000000000e+02,1.912335537331e+03
2.270000000000e+02,1.980318097835e+03
2.310000000000e+02,2.049451781239e+03
2.350000000000e+02,2.119733868820e+03
2.390000000000e+02,2.191161596728e+03
2.430000000000e+02,2.263732156087e+03
2.470000000000e+02,2.337442693109e+03
2.510000000000e+02,2.412290309199e+03
2.550000000000e+02,2.488272061068e+03
2.590000000000e+02,2.565384960852e+03
2.630000000000e+02,2.643625976220e+03
2.670000000000e+02,2.722992030500e+03
2.710000000000e+02,2.803480002792e+03
2.750000000000e+02,2.885086728093e+03
2.790000000000e+02,2.967808997421e+03
2.830000000000e+02,3.051643557940e+03
2.870000000000e+02,3.136587113085e+03
2.910000000000e+02,3.222636322692e+03
2.950000000000e+02,3.309787803131e+03
2.990000000000e+02,3.398038127435e+03
3.030000000000e+02,3.487383825436e+03
3.070000000000e+02,3.577821383903e+03
3.110000000000e+02,3.669347246673e+03
3.150000000000e+02,3.761957814799e+03
3.190000000000e+02,3.855649446685e+03
3.230000000000e+02,3.950418458232e+03
3.270000000000e+02,4.046261122980e+03
3.310000000000e+02,4.143173672257e+03
3.350000000000e+02,4.241152295324e+03
3.390000000000e+02,4.340193139529e+03
3.430000000000e+02,4.440292310453e+03
3.470000000000e+02,4.541445872066e+03
3.510000000000e+02,4.643649846881e+03
3.550000000000e+02,4.746900216112e+03
3.590000000000e+02,4.851192919826e+03
3.630000000000e+02,4.956523857112e+03
3.670000000000e+02,5.062888886232e+03
3.710000000000e+02,5.170283824792e+03
3.750000000000e+02,5.278704449899e+03
3.790000000000e+02,5.388146498335e+03
3.830000000000e+02,5.498605666717e+03
3.870000000000e+02,5.610077611670e+03
3.910000000000e+02,5.722557949999e+03
3.950000000000e+02,5.836042258858e+03
3.990000000000e+02,5.950526075923e+03
4.030000000000e+02,6.066004899575e+03
4.070000000000e+02,6.182474189065e+03
4.110000000000e+02,6.299929364705e+03
4.150000000000e+02,6.418365808038e+03
4.190000000000e+02,6.537778862026e+03
4.230000000000e+02,6.658163831228e+03
4.270000000000e+02,6.779515981990e+03
4.310000000000e+02,6.901830542626e+03
4.350000000000e+02,7.025102703611e+03
4.390000000000e+02,7.149327617764e+03
4.430000000000e+02,7.274500400442e+03
4.470000000000e+02,7.400616129734e+03
4.510000000000e+02,7.527669846649e+03
4.550000000000e+02,7.655656555316e+03
4.590000000000e+02,7.784571223177e+03
4.630000000000e+02,7.914408781188e+03
4.670000000000e+02,8.045164124016e+03
4.710000000000e+02,8.176832110240e+03
4.750000000000e+02,8.309407562553e+03
4.790000000000e+02,8.442885267967e+03
4.830000000000e+02,8.577259978018e+03
4.870000000000e+02,8.712526408969e+03
4.910000000000e+02,8.848679242020e+03
4.950000000000e+02,8.985713123521e+03
4.990000000000e+02,9.123622665175e+03
5.030000000000e+02,9.262402444254e+03
5.070000000000e+02,9.402047003814e+03
5.110000000000e+02,9.542550852904e+03
5.150000000000e+02,9.683908466789e+03
5.190000000000e+02,9.826114287162e+03
5.230000000000e+02,9.969162722362e+03
5.270000000000e+02,1.011304814760e+04
5.310000000000e+02,1.025776490517e+04
5.350000000000e+02,1.040330730468e+04
5.390000000000e+02,1.054966962328e+04
5.430000000000e+02,1.069684610588e+04
5.470000000000e+02,1.084483096535e+04
5.510000000000e+02,1.099361838282e+04
