exact,numeric
3.000000000000e+00,2.955053996345e+00
7.000000000000e+00,6.932000200472e+00
1.100000000000e+01,1.091418273280e+01
1.500000000000e+01,1.489878628163e+01
1.900000000000e+01,1.888475353508e+01
2.300000000000e+01,2.287155557150e+01
2.700000000000e+01,2.685888376188e+01
3.100000000000e+01,3.084653965351e+01
3.500000000000e+01,3.483438677753e+01
3.900000000000e+01,3.882232654807e+01
4.300000000000e+01,4.281028500509e+01
4.700000000000e+01,4.679820497997e+01
5.100000000000e+01,5.078604119866e+01
5.500000000000e+01,5.477375707976e+01
5.900000000000e+01,5.876132256353e+01
6.300000000000e+01,6.274871262261e+01
6.700000000000e+01,6.673590661992e+01
7.100000000000e+01,7.072289260175e+01
7.500000000000e+01,7.470971217264e+01
7.900000000000e+01,7.869677452806e+01
8.300000000000e+01,8.268648121442e+01
8.700000000000e+01,8.668905732287e+01
9.100000000000e+01,9.073492603418e+01
9.500000000000e+01,9.488335201322e+01
9.900000000000e+01,9.920585267776e+01
1.030000000000e+02,1.037540908952e+02
1.070000000000e+02,1.085485815936e+02
1.110000000000e+02,1.135898371420e+02
1.150000000000e+02,1.188710193313e+02
1.190000000000e+02,1.243842203267e+02
1.230000000000e+02,1.301224692894e+02
1.270000000000e+02,1.360800618207e+02
1.310000000000e+02,1.422524081020e+02
1.350000000000e+02,1.486358009166e+02
1.390000000000e+02,1.552272112364e+02
1.430000000000e+02,1.620241290510e+02
1.470000000000e+02,1.690244438707e+02
1.510000000000e+02,1.762263556247e+02
1.550000000000e+02,1.836283078950e+02
1.590000000000e+02,1.912289374026e+02
1.630000000000e+02,1.990270353547e+02
1.670000000000e+02,2.070215175237e+02
1.710000000000e+02,2.152114008256e+02
1.750000000000e+02,2.235957847905e+02
1.790000000000e+02,2.321738367595e+02
1.830000000000e+02,2.409447799509e+02
1.870000000000e+02,2.499078837586e+02
1.910000000000e+02,2.590624558047e+02
1.950000000000e+02,2.684078353824e+02
1.990000000000e+02,2.779433880115e+02
2.030000000000e+02,2.876685008888e+02
2.070000000000e+02,2.975825790672e+02
2.110000000000e+02,3.076850422281e+02
2.150000000000e+02,3.179753219432e+02
2.190000000000e+02,3.284528593407e+02
2.230000000000e+02,3.391171031082e+02
2.270000000000e+02,3.499675077763e+02
2.310000000000e+02,3.610035322393e+02
2.350000000000e+02,3.722246384752e+02
2.390000000000e+02,3.836302904350e+02
2.430000000000e+02,3.952199530758e+02
2.470000000000e+02,4.069930915173e+02
2.510000000000e+02,4.189491703038e+02
2.550000000000e+02,4.310876527567e+02
2.590000000000e+02,4.434080004063e+02
2.630000000000e+02,4.559096724908e+02
2.670000000000e+02,4.685921255146e+02
2.710000000000e+02,4.814548128582e+02
2.750000000000e+02,4.944971844332e+02
2.790000000000e+02,5.077186863763e+02
2.830000000000e+02,5.211187607784e+02
2.870000000000e+02,5.346968454441e+02
2.910000000000e+02,5.484523736776e+02
2.950000000000e+02,5.623847740934e+02
2.990000000000e+02,5.764934704471e+02
3.030000000000e+02,5.907778814858e+02
3.070000000000e+02,6.052374208148e+02
3.110000000000e+02,6.198714967793e+02
3.150000000000e+02,6.346795123596e+02
3.190000000000e+02,6.496608650778e+02
3.230000000000e+02,6.648149469161e+02
3.270000000000e+02,6.801411442437e+02
3.310000000000e+02,6.956388377533e+02
3.350000000000e+02,7.113074024050e+02
3.390000000000e+02,7.271462073775e+02
3.430000000000e+02,7.431546160252e+02
3.470000000000e+02,7.593319858423e+02
3.510000000000e+02,7.756776684309e+02
3.550000000000e+02,7.921910094747e+02
3.590000000000e+02,8.088713487171e+02
3.630000000000e+02,8.257180199429e+02
3.670000000000e+02,8.427303509641e+02
3.710000000000e+02,8.599076636089e+02
3.750000000000e+02,8.772492737137e+02
3.790000000000e+02,8.947544911185e+02
3.830000000000e+02,9.124226196640e+02
3.870000000000e+02,9.302529571917e+02
3.910000000000e+02,9.482447955466e+02
3.950000000000e+02,9.663974205809e+02
3.990000000000e+02,9.847101121610e+02
4.030000000000e+02,1.003182144175e+03
4.070000000000e+02,1.021812784542e+03
4.110000000000e+02,1.040601295224e+03
4.150000000000e+02,1.059546932240e+03
4.190000000000e+02,1.078648945676e+03
4.230000000000e+02,1.097906579704e+03
4.270000000000e+02,1.117319072599e+03
4.310000000000e+02,1.136885656750e+03
4.350000000000e+02,1.156605558689e+03
4.390000000000e+02,1.176477999102e+03
4.430000000000e+02,1.196502192851e+03
4.470000000000e+02,1.216677349001e+03
4.510000000000e+02,1.237002670834e+03
4.550000000000e+02,1.257477355880e+03
4.590000000000e+02,1.278100595933e+03
4.630000000000e+02,1.298871577081e+03
4.670000000000e+02,1.319789479731e+03
4.710000000000e+02,1.340853478629e+03
