exact,numeric
3.000000000000e+00,2.987443216055e+00
7.000000000000e+00,6.936918821379e+00
1.100000000000e+01,1.084529130598e+01
1.500000000000e+01,1.471188476571e+01
1.900000000000e+01,1.853599067469e+01
2.300000000000e+01,2.231684957594e+01
2.700000000000e+01,2.605366394199e+01
3.100000000000e+01,2.974557844885e+01
3.500000000000e+01,3.339168686025e+01
3.900000000000e+01,3.699102238373e+01
4.300000000000e+01,4.054253699276e+01
4.700000000000e+01,4.404511581764e+01
5.100000000000e+01,4.749754417226e+01
5.500000000000e+01,5.089851954018e+01
5.900000000000e+01,5.424660538878e+01
6.300000000000e+01,5.754024635998e+01
6.700000000000e+01,6.077772122786e+01
7.100000000000e+01,6.395712706696e+01
7.500000000000e+01,6.707634335862e+01
7.900000000000e+01,7.013298976487e+01
8.300000000000e+01,7.312435649213e+01
8.700000000000e+01,7.604734986381e+01
9.100000000000e+01,7.889836259631e+01
9.500000000000e+01,8.167314620263e+01
9.900000000000e+01,8.436658251694e+01
1.030000000000e+02,8.697236853860e+01
1.070000000000e+02,8.948247204850e+01
1.110000000000e+02,9.188622447341e+01
1.150000000000e+02,9.416853758717e+01
1.190000000000e+02,9.630652835046e+01
1.230000000000e+02,9.826994732872e+01
1.270000000000e+02,1.019004711855e+02
1.310000000000e+02,1.039015993859e+02
1.350000000000e+02,1.060922868569e+02
1.390000000000e+02,1.084445533220e+02
1.430000000000e+02,1.109382652819e+02
1.470000000000e+02,1.135604742640e+02
1.510000000000e+02,1.163022529793e+02
1.550000000000e+02,1.191570785746e+02
1.590000000000e+02,1.221199873234e+02
1.630000000000e+02,1.251870715831e+02
1.670000000000e+02,1.283552041822e+02
1.710000000000e+02,1.316218118897e+02
1.750000000000e+02,1.349847609075e+02
1.790000000000e+02,1.384422553806e+02
1.830000000000e+02,1.419927658511e+02
1.870000000000e+02,1.456349847447e+02
1.910000000000e+02,1.493677728263e+02
1.950000000000e+02,1.531901459527e+02
1.990000000000e+02,1.571012369035e+02
2.030000000000e+02,1.611002811954e+02
2.070000000000e+02,1.651865998296e+02
2.110000000000e+02,1.693596018319e+02
2.150000000000e+02,1.736187405875e+02
2.190000000000e+02,1.779635421886e+02
2.230000000000e+02,1.823935742774e+02
2.270000000000e+02,1.869084433305e+02
2.310000000000e+02,1.915077968880e+02
2.350000000000e+02,1.961913228201e+02
2.390000000000e+02,2.009587241296e+02
2.430000000000e+02,2.058097340978e+02
2.470000000000e+02,2.107441212584e+02
2.510000000000e+02,2.157616539969e+02
2.550000000000e+02,2.208621341091e+02
2.590000000000e+02,2.260453705730e+02
2.630000000000e+02,2.313112010393e+02
2.670000000000e+02,2.366594609509e+02
2.710000000000e+02,2.420900056083e+02
2.750000000000e+02,2.476027026347e+02
2.790000000000e+02,2.531974250976e+02
2.830000000000e+02,2.588740546833e+02
2.870000000000e+02,2.646324882245e+02
2.910000000000e+02,2.704726272910e+02
2.950000000000e+02,2.763943733633e+02
2.990000000000e+02,2.823976425294e+02
3.030000000000e+02,2.884823580568e+02
3.070000000000e+02,2.946484394578e+02
3.110000000000e+02,3.008958189231e+02
3.150000000000e+02,3.072244271891e+02
3.190000000000e+02,3.136342020234e+02
3.230000000000e+02,3.201250943988e+02
3.270000000000e+02,3.266970390583e+02
3.310000000000e+02,3.333499927013e+02
3.350000000000e+02,3.400839009561e+02
3.390000000000e+02,3.468987270520e+02
3.430000000000e+02,3.537944207388e+02
3.470000000000e+02,3.607709453760e+02
3.510000000000e+02,3.678282654892e+02
3.550000000000e+02,3.749663440185e+02
3.590000000000e+02,3.821851469508e+02
3.630000000000e+02,3.894846388317e+02
3.670000000000e+02,3.968647960789e+02
3.710000000000e+02,4.043255834340e+02
3.750000000000e+02,4.118669789102e+02
3.790000000000e+02,4.194889604433e+02
3.830000000000e+02,4.271914976174e+02
3.870000000000e+02,4.349745702027e+02
3.910000000000e+02,4.428381526622e+02
3.950000000000e+02,4.507822338260e+02
3.990000000000e+02,4.588067769149e+02
4.030000000000e+02,4.669117810920e+02
4.070000000000e+02,4.750972294051e+02
4.110000000000e+02,4.833630878367e+02
4.150000000000e+02,4.917093522250e+02
4.190000000000e+02,5.001360036632e+02
4.230000000000e+02,5.086430279556e+02
4.270000000000e+02,5.172304167672e+02
4.310000000000e+02,5.258981535315e+02
4.350000000000e+02,5.346462221666e+02
4.390000000000e+02,5.434746075399e+02
4.430000000000e+02,5.523833124408e+02
4.470000000000e+02,5.613723065484e+02
4.510000000000e+02,5.704416016961e+02
4.550000000000e+02,5.795911678606e+02
4.590000000000e+02,5.888210018710e+02
4.630000000000e+02,5.981311041344e+02
4.670000000000e+02,6.075214544074e+02
4.710000000000e+02,6.169920450527e+02
4.750000000000e+02,6.265428697528e+02
4.790000000000e+02,6.361739242734e+02
4.830000000000e+02,6.458851969685e+02
4.870000000000e+02,6.556766795756e+02
4.910000000000e+02,6.655483716031e+02
4.950000000000e+02,6.755002613966e+02
4.990000000000e+02,6.855323460823e+02
5.030000000000e+02,6.956446184507e+02
5.070000000000e+02,7.058370634253e+02
5.110000000000e+02,7.161096916903e+02
5.150000000000e+02,7.264624889261e+02
5.190000000000e+02,7.368954500369e+02
5.230000000000e+02,7.474085675783e+02
5.270000000000e+02,7.580018384333e+02
5.310000000000e+02,7.686752664203e+02
5.350000000000e+02,7.794288366550e+02
5.390000000000e+02,7.902625549488e+02
5.430000000000e+02,8.011763957485e+02
5.470000000000e+02,8.121703823390e+02
5.510000000000e+02,8.232444985240e+02
5.550000000000e+02,8.343987361307e+02
5.590000000000e+02,8.456330991675e+02
5.630000000000e+02,8.569475696408e+02
5.670000000000e+02,8.683421654987e+02
5.710000000000e+02,8.798168735910e+02
5.750000000000e+02,8.913716930852e+02
5.790000000000e+02,9.030066197014e+02
5.830000000000e+02,9.147216394908e+02
5.870000000000e+02,9.265167703711e+02
5.910000000000e+02,9.383919967779e+02
5.950000000000e+02,9.503473099998e+02
5.990000000000e+02,9.623827318081e+02
6.030000000000e+02,9.744982267106e+02
6.070000000000e+02,9.866938199405e+02
6.110000000000e+02,9.989694987889e+02
6.150000000000e+02,1.011325257222e+03
6.190000000000e+02,1.023761106222e+03
6.230000000000e+02,1.036277025884e+03
6.270000000000e+02,1.048873027032e+03
6.310000000000e+02,1.061549092659e+03
6.350000000000e+02,1.074305240850e+03
6.390000000000e+02,1.087141459827e+03
6.430000000000e+02,1.100057746540e+03
6.470000000000e+02,1.113054106726e+03
6.510000000000e+02,1.126130530571e+03
6.550000000000e+02,1.138943408711e+03
6.590000000000e+02,1.139287010740e+03
6.630000000000e+02,1.152523570208e+03
6.670000000000e+02,1.165840186731e+03
6.710000000000e+02,1.179236859455e+03
6.750000000000e+02,1.192713587155e+03
6.790000000000e+02,1.206270374137e+03
6.830000000000e+02,1.219907226014e+03
6.870000000000e+02,1.233624118293e+03
6.910000000000e+02,1.247421083966e+03
6.950000000000e+02,1.261298087254e+03
6.990000000000e+02,1.275255150486e+03
7.030000000000e+02,1.289292252546e+03
7.070000000000e+02,1.303409411623e+03
7.110000000000e+02,1.317606614605e+03
7.150000000000e+02,1.331883870940e+03
7.190000000000e+02,1.346241160957e+03
7.230000000000e+02,1.360678499153e+03
7.270000000000e+02,1.375195895474e+03
7.310000000000e+02,1.389793326445e+03
7.350000000000e+02,1.404470791454e+03
7.390000000000e+02,1.419228294483e+03
7.430000000000e+02,1.434065854911e+03
7.470000000000e+02,1.448983447527e+03
7.510000000000e+02,1.463981076326e+03
7.550000000000e+02,1.479058740547e+03
7.590000000000e+02,1.494216435979e+03
7.630000000000e+02,1.509454175815e+03
7.670000000000e+02,1.524771955502e+03
7.710000000000e+02,1.540169770823e+03
7.750000000000e+02,1.555647610629e+03
7.790000000000e+02,1.571205476936e+03
7.830000000000e+02,1.586843396531e+03
7.870000000000e+02,1.602561338027e+03
7.910000000000e+02,1.618359296229e+03
