exact,numeric
9.790990972178e+00,9.790991371827e+00
3.916243007261e+01,3.916242998570e+01
8.810971609342e+01,8.810971628408e+01
1.566251811556e+02,1.566251814860e+02
2.446980919104e+02,2.446980919602e+02
3.523146512205e+02,3.523146510068e+02
4.794580003219e+02,4.794580003237e+02
6.261082214644e+02,6.261082214435e+02
7.922423410321e+02,7.922423410877e+02
9.778343331425e+02,9.778343330904e+02
1.182855123723e+03,1.182855123742e+03
1.407272595067e+03,1.407272594904e+03
1.651051590862e+03,1.651051590894e+03
1.914153921702e+03,1.914153921701e+03
2.196538371067e+03,2.196538371080e+03
2.498160701778e+03,2.498160701818e+03
2.818973662931e+03,2.818973662941e+03
3.158926997298e+03,3.158926997340e+03
3.517967449197e+03,3.517967449237e+03
3.896038772841e+03,3.896038772879e+03
4.293081741141e+03,4.293081741051e+03
4.709034154993e+03,4.709034154929e+03
5.143830853015e+03,5.143830853040e+03
5.597403721757e+03,5.597403721821e+03
6.069681706376e+03,6.069681706379e+03
6.560590821758e+03,6.560590821774e+03
7.070054164116e+03,7.070054164124e+03
7.597991923034e+03,7.597991923047e+03
8.144321393972e+03,8.144321393939e+03
8.708956991218e+03,8.708956991215e+03
9.291810261301e+03,9.291810261310e+03
9.892789896841e+03,9.892789896834e+03
1.051180175086e+04,1.051180175083e+04
1.114874885153e+04,1.114874885152e+04
1.180353141735e+04,1.180353141748e+04
1.247604687280e+04,1.247604687265e+04
1.316618986440e+04,1.316618986440e+04
1.387385227721e+04,1.387385227727e+04
1.459892325177e+04,1.459892325177e+04
1.534128920145e+04,1.534128920144e+04
1.610083383030e+04,1.610083383030e+04
1.687743815119e+04,1.687743815119e+04
1.767098050451e+04,1.767098050450e+04
1.848133657721e+04,1.848133657719e+04
1.930837942225e+04,1.930837942225e+04
2.015197947855e+04,2.015197947855e+04
2.101200459120e+04,2.101200459120e+04
2.188832003224e+04,2.188832003224e+04
2.278078852172e+04,2.278078852172e+04
2.368927024924e+04,2.368927024925e+04
2.461362289579e+04,2.461362289579e+04
2.555370165614e+04,2.555370165613e+04
2.650935926144e+04,2.650935926151e+04
2.748044600233e+04,2.748044600226e+04
2.846680975238e+04,2.846680975238e+04
2.946829599194e+04,2.946829599193e+04
3.048474783232e+04,3.048474783237e+04
3.151600604040e+04,3.151600604039e+04
3.256190906353e+04,3.256190906348e+04
3.362229305488e+04,3.362229305488e+04
3.469699189909e+04,3.469699189908e+04
3.578583723829e+04,3.578583723829e+04
3.688865849849e+04,3.688865849849e+04
3.800528291628e+04,3.800528291628e+04
3.913553556589e+04,3.913553556589e+04
4.027923938665e+04,4.027923938665e+04
4.143621521065e+04,4.143621521065e+04
4.260628179084e+04,4.260628179085e+04
4.378925582945e+04,4.378925582946e+04
4.498495200667e+04,4.498495200664e+04
4.619318300969e+04,4.619318300970e+04
4.741375956205e+04,4.741375956210e+04
4.864649045329e+04,4.864649045329e+04
4.989118256889e+04,4.989118256885e+04
5.114764092054e+04,5.114764092054e+04
5.241566867669e+04,5.241566867668e+04
5.369506719336e+04,5.369506719335e+04
5.498563604529e+04,5.498563604530e+04
5.628717305730e+04,5.628717305734e+04
5.759947433600e+04,5.759947433599e+04
5.892233430172e+04,5.892233430168e+04
6.025554572069e+04,6.025554572076e+04
6.159889973754e+04,6.159889973748e+04
6.295218590799e+04,6.295218590800e+04
6.431519223185e+04,6.431519223185e+04
6.568770518618e+04,6.568770518621e+04
6.706950975881e+04,6.706950975881e+04
6.846038948194e+04,6.846038948194e+04
6.986012646614e+04,6.986012646612e+04
7.126850143439e+04,7.126850143439e+04
7.268529375653e+04,7.268529375655e+04
7.411028148373e+04,7.411028148372e+04
7.554324138332e+04,7.554324138335e+04
7.698394897375e+04,7.698394897374e+04
7.843217855973e+04,7.843217855976e+04
7.988770326762e+04,7.988770326757e+04
8.135029508095e+04,8.135029508095e+04
8.281972487615e+04,8.281972487615e+04
8.429576245844e+04,8.429576245843e+04
8.577817659788e+04,8.577817659789e+04
8.726673506563e+04,8.726673506562e+04
