euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
1,0,0,1,0,0
1,0.00628319,0,0.99998,0.00628319,0
0.999961,0.0125664,0,0.999921,0.0125661,0
0.999882,0.0188493,0,0.999822,0.0188486,0
0.999763,0.0251317,0,0.999684,0.0251303,0
0.999605,0.0314134,0,0.999507,0.031411,0
0.999408,0.0376942,0,0.999289,0.0376904,0
0.999171,0.0439736,0,0.999033,0.0439684,0
0.998895,0.0502516,0,0.998737,0.0502446,0
0.998579,0.0565278,0,0.998402,0.0565189,0
0.998224,0.0628021,0,0.998027,0.0627909,0
0.997829,0.0690741,0,0.997612,0.0690605,0
0.997395,0.0753437,0,0.997159,0.0753273,0
0.996922,0.0816105,0,0.996666,0.0815911,0
0.996409,0.0878743,0,0.996134,0.0878518,0
0.995857,0.094135,0,0.995562,0.0941089,0
0.995266,0.100392,0,0.994951,0.100362,0
0.994635,0.106646,0,0.994301,0.106612,0
0.993965,0.112895,0,0.993611,0.112857,0
0.993256,0.11914,0,0.992883,0.119098,0
0.992508,0.125381,0,0.992115,0.125334,0
0.99172,0.131617,0,0.991308,0.131565,0
0.990893,0.137848,0,0.990461,0.137791,0
0.990027,0.144074,0,0.989576,0.144012,0
0.989122,0.150295,0,0.988652,0.150227,0
0.988178,0.15651,0,0.987688,0.156435,0
0.987195,0.162719,0,0.986686,0.162638,0
0.986173,0.168921,0,0.985645,0.168835,0
0.985112,0.175118,0,0.984564,0.175024,0
0.984012,0.181307,0,0.983445,0.181207,0
0.982873,0.18749,0,0.982287,0.187383,0
0.981695,0.193666,0,0.98109,0.193551,0
0.980479,0.199834,0,0.979855,0.199711,0
0.979223,0.205995,0,0.978581,0.205864,0
0.977929,0.212147,0,0.977268,0.212008,0
0.976597,0.218292,0,0.975917,0.218145,0
0.975226,0.224428,0,0.974527,0.224272,0
0.973816,0.230555,0,0.973098,0.230391,0
0.972368,0.236674,0,0.971632,0.236501,0
0.970882,0.242784,0,0.970127,0.242601,0
0.969357,0.248884,0,0.968583,0.248692,0
0.967793,0.254975,0,0.967001,0.254772,0
0.966192,0.261056,0,0.965382,0.260843,0
0.964552,0.267126,0,0.963724,0.266904,0
0.962875,0.273187,0,0.962028,0.272954,0
0.961159,0.279237,0,0.960294,0.278993,0
0.959405,0.285276,0,0.958522,0.285021,0
