# $ ../../source/project4 -E 2.4 -l 100 -c 1e6 -s 0
c,E,CV,Mabs,Chi,M,accs
0.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.2742000000000000e+04
1.0000000000000000e+03,-1.2254885114885115e+00,5.4364638796655669e+00,2.2127512487512485e-01,1.4002687625128789e+02,2.1824375624375625e-01,2.8900000000000000e+03
2.0000000000000000e+03,-1.2141331334332834e+00,3.3734050103887503e+00,1.3759370314842578e-01,1.0377846668469863e+02,1.0980159920039981e-01,2.8210000000000000e+03
3.0000000000000000e+03,-1.2097460846384538e+00,2.6924821104166203e+00,1.2386857714095302e-01,7.8826029555182146e+01,9.6536487837387538e-02,2.7640000000000000e+03
4.0000000000000000e+03,-1.2068840789802548e+00,2.2607269171563291e+00,1.0898300424893775e-01,6.3808347875832020e+01,6.3313521619595095e-02,2.9720000000000000e+03
5.0000000000000000e+03,-1.2062392321535693e+00,2.1163407397166725e+00,9.9252589482103581e-02,5.4366036100251797e+01,5.6043471305738855e-02,2.8880000000000000e+03
6.0000000000000000e+03,-1.2060980503249459e+00,1.9189053870618553e+00,1.0788285285785702e-01,5.1067984784174207e+01,7.0235594067655394e-02,2.7600000000000000e+03
7.0000000000000000e+03,-1.2062267676046279e+00,1.8003662531719442e+00,1.0894789315812027e-01,4.7209958262762520e+01,7.3358177403228114e-02,2.7020000000000000e+03
8.0000000000000000e+03,-1.2066451193600800e+00,1.7287538519294725e+00,1.0497427821522311e-01,4.2948755086060437e+01,7.0499687539057623e-02,2.6510000000000000e+03
9.0000000000000000e+03,-1.2066270414398401e+00,1.6768185360020853e+00,1.0464586157093657e-01,3.9750820218282925e+01,7.1558604599488942e-02,3.0070000000000000e+03
1.0000000000000000e+04,-1.2059756024397561e+00,1.6264525990100165e+00,1.0176028397160283e-01,3.7105007392924676e+01,6.6563403659634035e-02,2.7620000000000000e+03
1.1000000000000000e+04,-1.2048373420598126e+00,1.5789075014460832e+00,9.9174856831197172e-02,3.4913983806547705e+01,6.4314753204254158e-02,2.8080000000000000e+03
1.2000000000000000e+04,-1.2044635947004416e+00,1.5411454752211768e+00,9.6069977501874848e-02,3.3215500928010833e+01,6.2634597116906929e-02,2.8390000000000000e+03
1.3000000000000000e+04,-1.2043318513960464e+00,1.5031678680082163e+00,9.3798415506499491e-02,3.1504178937312339e+01,5.3581816783324361e-02,2.6880000000000000e+03
1.4000000000000000e+04,-1.2042064995357473e+00,1.4679537682504289e+00,9.1239225769587887e-02,3.0203296924388539e+01,4.9900521391329195e-02,3.0740000000000000e+03
1.5000000000000000e+04,-1.2040517832144524e+00,1.4601752215127151e+00,9.1212052529831333e-02,2.8917788119931618e+01,5.1997093527098193e-02,2.8350000000000000e+03
1.6000000000000000e+04,-1.2047243547278295e+00,1.4392406332860184e+00,9.3382838572589208e-02,2.8435333616511478e+01,5.6593962877320166e-02,2.7310000000000000e+03
1.7000000000000000e+04,-1.2039593906240809e+00,1.4271159011979277e+00,9.1877266043173922e-02,2.7432260951151331e+01,5.3517616610787605e-02,2.7820000000000000e+03
1.8000000000000000e+04,-1.2037665018610078e+00,1.4042068342481637e+00,8.9690939392255989e-02,2.6594903665586834e+01,5.0321815454696960e-02,2.8410000000000000e+03
1.9000000000000000e+04,-1.2033328982685121e+00,1.3896286676886183e+00,9.0115362349350039e-02,2.5715157519281931e+01,4.2606094416083366e-02,2.7730000000000000e+03
2.0000000000000000e+04,-1.2034475676216190e+00,1.3765058886089052e+00,9.1782700864956754e-02,2.5889041134297301e+01,4.3815519224038799e-02,2.8530000000000000e+03
2.1000000000000000e+04,-1.2035616780153326e+00,1.3627479807892815e+00,9.1541469453835539e-02,2.5582917014716092e+01,3.9759878101042805e-02,3.0450000000000000e+03
2.2000000000000000e+04,-1.2035222217171946e+00,1.3507503972202541e+00,8.9037807372392155e-02,2.5135951144612303e+01,3.8000109085950640e-02,2.6710000000000000e+03
2.3000000000000000e+04,-1.2036500152167298e+00,1.3416817673456132e+00,8.8427790096082773e-02,2.4718572336813359e+01,3.8290387374461977e-02,2.7970000000000000e+03
2.4000000000000000e+04,-1.2038691221199116e+00,1.3344054592633621e+00,8.6764626473896919e-02,2.4102166105557462e+01,3.6085138119245033e-02,2.8250000000000000e+03
2.5000000000000000e+04,-1.2040648774049036e+00,1.3247058262707045e+00,8.7635494580216786e-02,2.3955352169598140e+01,3.2012295508179668e-02,2.7030000000000000e+03
2.6000000000000000e+04,-1.2037069497327026e+00,1.3262048384216099e+00,8.7886912041844539e-02,2.3447498884044183e+01,3.1391177262412986e-02,2.9650000000000000e+03
2.7000000000000000e+04,-1.2036996259397801e+00,1.3193660115352315e+00,8.9543076182363623e-02,2.4443383897524207e+01,3.3284567238250434e-02,2.7780000000000000e+03
2.8000000000000000e+04,-1.2039516731545301e+00,1.3165423286043936e+00,9.5339980714974473e-02,2.7878873738376836e+01,4.1090632477411522e-02,2.8090000000000000e+03
2.9000000000000000e+04,-1.2040360815144306e+00,1.3068040568226327e+00,9.7180800662046138e-02,2.7874147079670909e+01,3.9316837350436194e-02,2.8550000000000000e+03
3.0000000000000000e+04,-1.2040356254791507e+00,1.2975540076615288e+00,9.6288083730542318e-02,2.7606072973947214e+01,3.5973454218192730e-02,2.8340000000000000e+03
3.1000000000000000e+04,-1.2038220960614172e+00,1.2951894889704676e+00,9.6035740782555404e-02,2.7059653860522371e+01,3.2177620076771718e-02,3.0000000000000000e+03
3.2000000000000000e+04,-1.2039425392956469e+00,1.2963635566323581e+00,9.6395381394331417e-02,2.7647157890556819e+01,3.4100378113183963e-02,2.9330000000000000e+03
3.3000000000000000e+04,-1.2041130874821975e+00,1.2926014719634422e+00,9.9521790248780342e-02,2.8465911894163831e+01,3.9114457137662491e-02,2.7310000000000000e+03
3.4000000000000000e+04,-1.2040377165377489e+00,1.2846921144632830e+00,9.9354524866915678e-02,2.7995837177135630e+01,3.8230099114731922e-02,2.7060000000000000e+03
3.5000000000000000e+04,-1.2039638181766235e+00,1.2767479946676434e+00,1.0015966972372217e-01,2.7951125857092421e+01,3.8777617782349075e-02,2.7950000000000000e+03
3.6000000000000000e+04,-1.2039885892058553e+00,1.2766791948898593e+00,1.0220511652454098e-01,2.8549601480692228e+01,4.0040343323796558e-02,2.7790000000000000e+03
3.7000000000000000e+04,-1.2039583254506636e+00,1.2793129717330964e+00,1.0327039809734873e-01,2.9046803913749631e+01,3.6824377719521094e-02,2.8330000000000000e+03
3.8000000000000000e+04,-1.2039684534617510e+00,1.2683239376560476e+00,1.0313488066103522e-01,2.8772459515942987e+01,3.6225367753480175e-02,2.6470000000000000e+03
3.9000000000000000e+04,-1.2039465757288275e+00,1.2623164739532189e+00,1.0416440604087074e-01,2.8728269085885181e+01,3.1888843875798059e-02,2.7430000000000000e+03
4.0000000000000000e+04,-1.2038883227919301e+00,1.2576311006976499e+00,1.0311044223894403e-01,2.8403883807933639e+01,2.9969200769980751e-02,3.1100000000000000e+03
4.1000000000000000e+04,-1.2036831687032024e+00,1.2600887814867829e+00,1.0281167288602716e-01,2.8069035533011061e+01,3.1291748981732155e-02,2.6550000000000000e+03
4.2000000000000000e+04,-1.2036124949405966e+00,1.2549071253370494e+00,1.0336894835837243e-01,2.7789894536484148e+01,3.3030499273826813e-02,2.8810000000000000e+03
4.3000000000000000e+04,-1.2038216971698332e+00,1.2574619694147260e+00,1.0248107718425153e-01,2.7477348190788653e+01,3.2526099393037376e-02,2.8710000000000000e+03
4.4000000000000000e+04,-1.2038502943114928e+00,1.2530988728591343e+00,1.0155985091247927e-01,2.7183403656793974e+01,3.1816117815504190e-02,2.8090000000000000e+03
4.5000000000000000e+04,-1.2038063331925957e+00,1.2474214706895872e+00,1.0139906668740695e-01,2.6937338151818935e+01,2.9033545921201751e-02,2.6860000000000000e+03
4.6000000000000000e+04,-1.2037484924240778e+00,1.2438113270917286e+00,1.0216073563618182e-01,2.6912298196479981e+01,2.5456959631312365e-02,2.8720000000000000e+03
