# $ ../../source/project4 -E 2.4 -c 1e6 -l 60
c,E,CV,Mabs,Chi,M,accs
0.0000000000000000e+00,-1.4444444444444444e-02,0.0000000000000000e+00,1.8333333333333333e-02,0.0000000000000000e+00,1.8333333333333333e-02,3.2708000000000000e+04
1.0000000000000000e+03,-1.1972027972027972e+00,2.3324961643725315e+00,1.7905483405483405e-01,1.7132799463643629e+01,1.7054556554556555e-01,1.0350000000000000e+03
2.0000000000000000e+03,-1.1983513798656229e+00,1.7703485148392952e+00,1.9269393081237157e-01,1.9856273812350683e+01,4.9179576878227556e-02,9.7400000000000000e+02
3.0000000000000000e+03,-1.2039938539005517e+00,1.6600087697563457e+00,1.7394498130252878e-01,2.3191290003208444e+01,-7.1231811618349440e-03,9.8700000000000000e+02
4.0000000000000000e+03,-1.2026429503735179e+00,1.5008889245983918e+00,1.6768280152184176e-01,2.0082608637798149e+01,4.4133411091671522e-03,1.0140000000000000e+03
5.0000000000000000e+03,-1.2031680330600547e+00,1.4127065505012137e+00,1.5240718522962074e-01,1.8637568288737331e+01,7.8552067364304912e-03,1.0410000000000000e+03
6.0000000000000000e+03,-1.2044094502768057e+00,1.3737606293359057e+00,1.6879825584624783e-01,2.0087166744312089e+01,2.3608750393452942e-02,9.5100000000000000e+02
7.0000000000000000e+03,-1.2040268850481677e+00,1.3209032595326857e+00,1.5938016791252041e-01,1.9294044388157285e+01,2.4065371613579013e-02,1.0390000000000000e+03
8.0000000000000000e+03,-1.2021534808148981e+00,1.2902208959703898e+00,1.5517476982043910e-01,1.7896192790013032e+01,2.8319515616103543e-02,1.0180000000000000e+03
9.0000000000000000e+03,-1.2034401115925393e+00,1.2882047633530520e+00,1.6003049043933390e-01,1.8550242611309727e+01,9.1842881655124740e-03,1.0450000000000000e+03
1.0000000000000000e+04,-1.2024990834249909e+00,1.2650019763219731e+00,1.5428412714284129e-01,1.7906971302114311e+01,1.6922307769223079e-02,1.0340000000000000e+03
1.1000000000000000e+04,-1.2024782595521619e+00,1.2452350607600686e+00,1.5530477027340950e-01,1.7594283107281491e+01,2.5276894019735579e-02,9.9800000000000000e+02
1.2000000000000000e+04,-1.2023395272616171e+00,1.2319563156943107e+00,1.5873117055060226e-01,1.8138117802548805e+01,3.7416280124804420e-02,1.0010000000000000e+03
1.3000000000000000e+04,-1.2017493526139014e+00,1.2129705746287702e+00,1.5637814185233614e-01,1.7582184396955814e+01,4.2074455811091448e-02,1.0510000000000000e+03
1.4000000000000000e+04,-1.2025251370933823e+00,1.2268815232632340e+00,1.5604472696394703e-01,1.7588087064243407e+01,4.1131823917339237e-02,1.1190000000000000e+03
1.5000000000000000e+04,-1.2023697679413963e+00,1.2246376723052868e+00,1.5429152871290064e-01,1.7106570811936603e+01,4.0338607055825912e-02,9.5700000000000000e+02
1.6000000000000000e+04,-1.2016957273503739e+00,1.2071170370666855e+00,1.5138217055878453e-01,1.6730593455675390e+01,3.5768701956127739e-02,1.0080000000000000e+03
1.7000000000000000e+04,-1.2021205288577796e+00,1.1969481819066046e+00,1.5261174179296644e-01,1.6656963110778069e+01,3.8904443529465586e-02,9.6900000000000000e+02
1.8000000000000000e+04,-1.2021993839848404e+00,1.1814368678275555e+00,1.5687057509150726e-01,1.7207130056526356e+01,2.4016289218500207e-02,9.8600000000000000e+02
1.9000000000000000e+04,-1.2032320521142161e+00,1.1820937349480063e+00,1.5915761743533965e-01,1.7875038965022146e+01,3.2032846224467719e-02,9.0600000000000000e+02
2.0000000000000000e+04,-1.2026938097539568e+00,1.1787068834866077e+00,1.5606519674016300e-01,1.7786783123491535e+01,2.8086262353548993e-02,9.5900000000000000e+02
2.1000000000000000e+04,-1.2023872408192202e+00,1.1759502404756748e+00,1.5605696025057006e-01,1.7796477140324441e+01,2.0348819368389868e-02,1.0190000000000000e+03
2.2000000000000000e+04,-1.2031848552338531e+00,1.1772125932739410e+00,1.5755165169259983e-01,1.7652610152266515e+01,1.8439944648980605e-02,9.9500000000000000e+02
2.3000000000000000e+04,-1.2039897782222029e+00,1.1941165136328589e+00,1.6150032124207159e-01,1.8233584789435682e+01,1.6314846214415799e-02,9.3200000000000000e+02
2.4000000000000000e+04,-1.2040913573045566e+00,1.1891507254566718e+00,1.6462242313977660e-01,1.9088011296968737e+01,7.3808267248123925e-03,9.9400000000000000e+02
2.5000000000000000e+04,-1.2039155322675983e+00,1.1776359153832066e+00,1.6269860316698445e-01,1.8773620262995973e+01,6.1519317005097572e-03,1.0310000000000000e+03
2.6000000000000000e+04,-1.2038471597246261e+00,1.1694723391550792e+00,1.6192834463631742e-01,1.8675499133470471e+01,1.0650616001948643e-02,1.0430000000000000e+03
2.7000000000000000e+04,-1.2037195741721500e+00,1.1607445971691770e+00,1.6144541971696524e-01,1.8391669353069044e+01,7.8322613565752711e-03,9.9400000000000000e+02
2.8000000000000000e+04,-1.2037381998261969e+00,1.1563768344376177e+00,1.5970832390906672e-01,1.8147777240852797e+01,1.0917883885099343e-02,1.0900000000000000e+03
2.9000000000000000e+04,-1.2035357018340365e+00,1.1456612176373229e+00,1.6022918749928164e-01,1.7946921791990654e+01,1.6072664161005942e-02,1.0370000000000000e+03
3.0000000000000000e+04,-1.2040661977934068e+00,1.1496065426998727e+00,1.6342829313096971e-01,1.8790230009047278e+01,2.3983830168624008e-02,9.7400000000000000e+02
3.1000000000000000e+04,-1.2041466404309538e+00,1.1407831425939898e+00,1.6295528101244047e-01,1.8637712736489217e+01,2.7955191409596104e-02,1.0420000000000000e+03
3.2000000000000000e+04,-1.2040069581158923e+00,1.1360933287054831e+00,1.6201292320726088e-01,1.8479340084915400e+01,2.5611317701877370e-02,9.7400000000000000e+02
3.3000000000000000e+04,-1.2040783949307934e+00,1.1325619734006640e+00,1.6298738422068018e-01,1.8408801744255832e+01,2.2428175577171063e-02,1.0820000000000000e+03
