# $ ./project4 -L 20 -E 1 -c 1E4 -s 0
c,E,CV,Mabs,Chi,M
0.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+01,-1.9927272727272729e+00,3.7024793388263789e-02,9.9818181818181817e-01,2.3140495867846767e-03,9.9818181818181817e-01
2.0000000000000000e+01,-1.9961904761904763e+00,2.4671201814198865e-02,9.9904761904761896e-01,1.5419501134601888e-03,9.9904761904761896e-01
3.0000000000000000e+01,-1.9974193548387098e+00,1.7981269510637502e-02,9.9935483870967745e-01,1.1238293444330338e-03,9.9935483870967745e-01
4.0000000000000000e+01,-1.9980487804878049e+00,1.4086853063490707e-02,9.9951219512195122e-01,8.8042831652273895e-04,9.9951219512195122e-01
5.0000000000000000e+01,-1.9984313725490197e+00,1.1564782775822095e-02,9.9960784313725481e-01,7.2279892359802030e-04,9.9960784313725481e-01
6.0000000000000000e+01,-1.9986885245901638e+00,9.8038161784643300e-03,9.9967213114754105e-01,6.1273851111764087e-04,9.9967213114754105e-01
7.0000000000000000e+01,-1.9988732394366198e+00,8.5062487600953314e-03,9.9971830985915489e-01,5.3164054756052795e-04,9.9971830985915489e-01
8.0000000000000000e+01,-1.9985185185185186e+00,1.0973936899972614e-02,9.9962962962962965e-01,6.8587105626647825e-04,9.9962962962962965e-01
9.0000000000000000e+01,-1.9984615384615383e+00,1.1360946745844558e-02,9.9961538461538468e-01,7.1005917161528489e-04,9.9961538461538468e-01
1.0000000000000000e+02,-1.9984158415841586e+00,1.1669444171711802e-02,9.9960396039603960e-01,7.2934026073198763e-04,9.9960396039603960e-01
1.1000000000000000e+02,-1.9980180180180183e+00,1.4284554824698717e-02,9.9950450450450445e-01,8.9278467661642932e-04,9.9950450450450445e-01
1.2000000000000000e+02,-1.9980165289256198e+00,1.4294105593871792e-02,9.9950413223140500e-01,8.9338159952603749e-04,9.9950413223140500e-01
1.3000000000000000e+02,-1.9981679389312978e+00,1.3313909445423633e-02,9.9954198473282441e-01,8.3211934033897703e-04,9.9954198473282441e-01
1.4000000000000000e+02,-1.9981560283687942e+00,1.3391680498898495e-02,9.9953900709219856e-01,8.3698003123572557e-04,9.9953900709219856e-01
1.5000000000000000e+02,-1.9982781456953642e+00,1.2588921538263093e-02,9.9956953642384105e-01,7.8680759615963321e-04,9.9956953642384105e-01
1.6000000000000000e+02,-1.9982608695652175e+00,1.2703213610511738e-02,9.9956521739130433e-01,7.9395085063879375e-04,9.9956521739130433e-01
1.7000000000000000e+02,-1.9978947368421052e+00,1.5069252077664715e-02,9.9947368421052629e-01,9.4182825487223456e-04,9.9947368421052629e-01
1.8000000000000000e+02,-1.9977900552486187e+00,1.5726015689433551e-02,9.9944751381215469e-01,9.8287598062597671e-04,9.9944751381215469e-01
1.9000000000000000e+02,-1.9976439790575915e+00,1.7256105918495451e-02,9.9939790575916232e-01,1.1638935335940915e-03,9.9939790575916232e-01
2.0000000000000000e+02,-1.9975621890547266e+00,1.7722333605343012e-02,9.9937810945273631e-01,1.1885844410426216e-03,9.9937810945273631e-01
2.1000000000000000e+02,-1.9974881516587677e+00,1.8139754273288417e-02,9.9936018957345962e-01,1.2106646302709123e-03,9.9936018957345962e-01
2.2000000000000000e+02,-1.9972398190045249e+00,1.9576994738017675e-02,9.9929864253393663e-01,1.2964517516957130e-03,9.9929864253393663e-01
2.3000000000000000e+02,-1.9970995670995670e+00,2.0357939318928403e-02,9.9926406926406930e-01,1.3418039392126956e-03,9.9926406926406930e-01
2.4000000000000000e+02,-1.9972199170124481e+00,1.9647044644516429e-02,9.9929460580912854e-01,1.2947435478417901e-03,9.9929460580912854e-01
2.5000000000000000e+02,-1.9973306772908368e+00,1.8982555832189975e-02,9.9932270916334653e-01,1.2507737972191535e-03,9.9932270916334653e-01
