# $ ./project4 -L 2 -E 1 -c 100 -s 1
c,E,CV,Mabs,Chi,M
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,5.0000000000000000e-01
1.0000000000000000e+00,-1.0000000000000000e+00,4.0000000000000000e+00,7.5000000000000000e-01,2.5000000000000000e-01,7.5000000000000000e-01
2.0000000000000000e+00,-1.3333333333333333e+00,3.5555555555555554e+00,8.3333333333333337e-01,2.2222222222222188e-01,8.3333333333333337e-01
3.0000000000000000e+00,-1.5000000000000000e+00,3.0000000000000000e+00,8.7500000000000000e-01,1.8750000000000000e-01,8.7500000000000000e-01
4.0000000000000000e+00,-1.6000000000000001e+00,2.5599999999999987e+00,9.0000000000000002e-01,1.5999999999999970e-01,9.0000000000000002e-01
5.0000000000000000e+00,-1.6666666666666667e+00,2.2222222222222214e+00,9.1666666666666663e-01,1.3888888888888928e-01,9.1666666666666663e-01
6.0000000000000000e+00,-1.7142857142857142e+00,1.9591836734693882e+00,9.2857142857142860e-01,1.2244897959183687e-01,9.2857142857142860e-01
7.0000000000000000e+00,-1.7500000000000000e+00,1.7500000000000000e+00,9.3750000000000000e-01,1.0937500000000000e-01,9.3750000000000000e-01
8.0000000000000000e+00,-1.7777777777777777e+00,1.5802469135802468e+00,9.4444444444444442e-01,9.8765432098765427e-02,9.4444444444444442e-01
9.0000000000000000e+00,-1.8000000000000000e+00,1.4399999999999995e+00,9.4999999999999996e-01,9.0000000000000302e-02,9.4999999999999996e-01
1.0000000000000000e+01,-1.8181818181818181e+00,1.3223140495867778e+00,9.5454545454545459e-01,8.2644628099172834e-02,9.5454545454545459e-01
1.1000000000000000e+01,-1.8333333333333333e+00,1.2222222222222232e+00,9.5833333333333337e-01,7.6388888888888395e-02,9.5833333333333337e-01
1.2000000000000000e+01,-1.8461538461538463e+00,1.1360946745562117e+00,9.6153846153846156e-01,7.1005917159763232e-02,9.6153846153846156e-01
1.3000000000000000e+01,-1.8571428571428572e+00,1.0612244897959187e+00,9.6428571428571430e-01,6.6326530612244472e-02,9.6428571428571430e-01
1.4000000000000000e+01,-1.8666666666666667e+00,9.9555555555555486e-01,9.6666666666666667e-01,6.2222222222222179e-02,9.6666666666666667e-01
1.5000000000000000e+01,-1.8750000000000000e+00,9.3750000000000000e-01,9.6875000000000000e-01,5.8593750000000000e-02,9.6875000000000000e-01
1.6000000000000000e+01,-1.8823529411764706e+00,8.8581314878892670e-01,9.7058823529411764e-01,5.5363321799308363e-02,9.7058823529411764e-01
1.7000000000000000e+01,-1.8888888888888888e+00,8.3950617283950635e-01,9.7222222222222221e-01,5.2469135802469591e-02,9.7222222222222221e-01
1.8000000000000000e+01,-1.8947368421052631e+00,7.9778393351800680e-01,9.7368421052631582e-01,4.9861495844874870e-02,9.7368421052631582e-01
1.9000000000000000e+01,-1.8999999999999999e+00,7.5999999999999979e-01,9.7499999999999998e-01,4.7500000000000320e-02,9.7499999999999998e-01
2.0000000000000000e+01,-1.9047619047619047e+00,7.2562358276644012e-01,9.7619047619047616e-01,4.5351473922902841e-02,9.7619047619047616e-01
2.1000000000000000e+01,-1.9090909090909092e+00,6.9421487603305643e-01,9.7727272727272729e-01,4.3388429752066138e-02,9.7727272727272729e-01
2.2000000000000000e+01,-1.9130434782608696e+00,6.6540642722117127e-01,9.7826086956521741e-01,4.1587901701323204e-02,9.7826086956521741e-01
2.3000000000000000e+01,-1.9166666666666667e+00,6.3888888888888751e-01,9.7916666666666663e-01,3.9930555555555802e-02,9.7916666666666663e-01
2.4000000000000000e+01,-1.9199999999999999e+00,6.1439999999999984e-01,9.7999999999999998e-01,3.8400000000000212e-02,9.7999999999999998e-01
2.5000000000000000e+01,-1.9230769230769231e+00,5.9171597633136130e-01,9.8076923076923073e-01,3.6982248520710304e-02,9.8076923076923073e-01
2.6000000000000000e+01,-1.9259259259259258e+00,5.7064471879286849e-01,9.8148148148148151e-01,3.5665294924553947e-02,9.8148148148148151e-01
