# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0001000000000000e+04,-1.9973979183346677e+00,2.0789570006686020e-02,9.9894915932746198e-01,3.6985453054194650e-03,-5.2927341873498801e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.0002000000000000e+04,-1.9968989146201170e+00,2.4770216116930754e-02,9.9884959735907564e-01,3.7960367607183798e-03,-3.2721452508377930e-01,0.0000000000000000e+00,-2.0000000000000000e+00
3.0003000000000000e+04,-1.9972661198906447e+00,2.1841144473032870e-02,9.9904980996199244e-01,2.9636486742568025e-03,-4.2126758685070348e-01,0.0000000000000000e+00,-2.0000000000000000e+00
4.0004000000000000e+04,-1.9970496312039006e+00,2.3568131664664094e-02,9.9896237029628698e-01,3.2711027245704294e-03,-5.1010126265783218e-01,0.0000000000000000e+00,-2.0000000000000000e+00
5.0005000000000000e+04,-1.9969597567805424e+00,2.4284973440327207e-02,9.9895991679334351e-01,3.1959289281742187e-03,-4.1217297383790702e-01,0.0000000000000000e+00,-2.0000000000000000e+00
6.0006000000000000e+04,-1.9959664649899163e+00,3.2203202461959179e-02,9.9859159624647897e-01,4.4089531065107934e-03,-4.0927879727319699e-01,0.0000000000000000e+00,-2.0000000000000000e+00
7.0007000000000000e+04,-1.9957998799965713e+00,3.3530395995256868e-02,9.9857853081516612e-01,4.3206128070010230e-03,-4.2927655075859311e-01,0.0000000000000000e+00,-2.0000000000000000e+00
8.0008000000000000e+04,-1.9954249428117852e+00,3.6516732912616590e-02,9.9841873023412797e-01,4.9025597507275087e-03,-3.8321104013800172e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.0009000000000000e+04,-1.9956444444444446e+00,3.4768560987654240e-02,9.9847777777777780e-01,4.7685091358022902e-03,-2.5468888888888891e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.0001000000000000e+05,-1.9958800411995881e+00,3.2891774161226905e-02,9.9857001429985703e-01,4.4517759640352317e-03,-2.9250707492925071e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.1001100000000000e+05,-1.9958182578498573e+00,3.3383989331500885e-02,9.9855002636315704e-01,4.5096899767247400e-03,-2.7729950364538825e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.2001200000000000e+05,-1.9958334374973958e+00,3.3263059048481480e-02,9.9856670249910418e-01,4.4250051358667442e-03,-2.8646783830404238e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.3001300000000000e+05,-1.9958462816528721e+00,3.3160733272593390e-02,9.9858465893357129e-01,4.3303152901073005e-03,-2.4665394910925817e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.4001400000000000e+05,-1.9960001428520411e+00,3.1934861754855604e-02,9.9864290561051394e-01,4.1353423682291002e-03,-2.9717510088925397e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.5001500000000000e+05,-1.9959868271935790e+00,3.2040960227471160e-02,9.9865005399784013e-01,4.0792137897032177e-03,-2.2059450955295121e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.6001600000000000e+05,-1.9960251738986419e+00,3.1735411840720928e-02,9.9865943364977783e-01,4.0613835274179166e-03,-2.1674989219221660e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.7001700000000000e+05,-1.9960472448355371e+00,3.1559544222142577e-02,9.9867653286904146e-01,3.9810413603014183e-03,-2.0476095242576819e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.8001800000000000e+05,-1.9960001999900006e+00,3.1934406479516397e-02,9.9866673333000011e-01,3.9926896099466980e-03,-2.0846735441005729e-01,0.0000000000000000e+00,-2.0000000000000000e+00
1.9001900000000000e+05,-1.9959581074680279e+00,3.2269792674815889e-02,9.9865533392979322e-01,4.0188713819069299e-03,-2.1112309878427452e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.0002000000000000e+05,-1.9959502227377495e+00,3.2332615314508928e-02,9.9866257355845434e-01,3.9676265490773410e-03,-2.2067536285504297e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.1002100000000000e+05,-1.9960859379464031e+00,3.1251216901736711e-02,9.9870483591413828e-01,3.8502126615358456e-03,-2.2486810277507951e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.2002200000000000e+05,-1.9961365919286587e+00,3.0847560883028535e-02,9.9872507533645738e-01,3.7796381783237187e-03,-1.9011831119070235e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.3002300000000000e+05,-1.9961306703070247e+00,3.0894750694709927e-02,9.9872616449433516e-01,3.7671927134317329e-03,-1.9248393576043196e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.4002400000000000e+05,-1.9960335812345062e+00,3.1668420212657367e-02,9.9870216444805537e-01,3.8138570376942127e-03,-2.1674270358102618e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.5002500000000000e+05,-1.9960882503519775e+00,3.1232790042945879e-02,9.9872608153078202e-01,3.7252696942204899e-03,-2.4804212530398054e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.6002600000000000e+05,-1.9960617959594951e+00,3.1443594519780405e-02,9.9871162270159264e-01,3.7854200856868303e-03,-2.7675498140506199e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.7002700000000000e+05,-1.9961261841803140e+00,3.0930500761469304e-02,9.9872786258693869e-01,3.7525353242910953e-03,-2.5942529757275440e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.8002800000000000e+05,-1.9962359697020560e+00,3.0055570687217426e-02,9.9876079837439602e-01,3.6650369730044652e-03,-2.1649959467036164e-01,0.0000000000000000e+00,-2.0000000000000000e+00
2.9002900000000000e+05,-1.9961037169850355e+00,3.1109540034384153e-02,9.9871560582028829e-01,3.8034833896700704e-03,-1.8409592441900557e-01,0.0000000000000000e+00,-2.0000000000000000e+00
