# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
0.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,2.9999999999999999e-02,0.0000000000000000e+00,2.9999999999999999e-02
1.0000000000000000e+01,-1.1327272727272726e+00,7.8458842975206650e+01,1.4409090909090908e-01,1.0269421487603312e+00,1.4409090909090908e-01
2.0000000000000000e+01,-1.3400000000000001e+00,6.0068571428571452e+01,1.5595238095238095e-01,7.2630385487528315e-01,1.5595238095238095e-01
3.0000000000000000e+01,-1.4164516129032259e+00,4.5629802289281940e+01,1.5693548387096773e-01,7.2817898022892902e-01,1.5693548387096773e-01
4.0000000000000000e+01,-1.4543902439024390e+00,3.6298631766805485e+01,1.4658536585365853e-01,8.0850684116597338e-01,1.4658536585365853e-01
5.0000000000000000e+01,-1.4811764705882353e+00,3.0361799307958282e+01,1.4598039215686273e-01,6.9334102268358377e-01,1.4598039215686273e-01
6.0000000000000000e+01,-1.4986885245901638e+00,2.6015049717817892e+01,1.4606557377049179e-01,6.1741467347487289e-01,1.4606557377049179e-01
7.0000000000000000e+01,-1.5105633802816902e+00,2.2704098393175808e+01,1.3464788732394367e-01,9.6657012497520323e-01,1.3450704225352111e-01
8.0000000000000000e+01,-1.5180246913580249e+00,2.0066587410455540e+01,1.3537037037037036e-01,8.7796982167352555e-01,1.3524691358024690e-01
9.0000000000000000e+01,-1.5254945054945055e+00,1.8052979108803410e+01,1.3604395604395603e-01,8.1901461176186441e-01,1.3593406593406593e-01
1.0000000000000000e+02,-1.5305940594059404e+00,1.6370551906675974e+01,1.4440594059405940e-01,1.0073835898441326e+00,1.4430693069306932e-01
1.1000000000000000e+02,-1.5418918918918920e+00,1.5469198928658297e+01,1.6184684684684683e-01,2.3621491762032316e+00,1.6175675675675677e-01
1.2000000000000000e+02,-1.5571074380165288e+00,1.5223430093573116e+01,1.8690082644628098e-01,4.9666539170821666e+00,1.8681818181818183e-01
1.3000000000000000e+02,-1.5716793893129770e+00,1.5096276440767106e+01,2.0935114503816796e-01,7.0672361750480714e+00,2.0927480916030536e-01
1.4000000000000000e+02,-1.5868794326241136e+00,1.5238658015190303e+01,2.3921985815602839e-01,1.1291813289069964e+01,2.3914893617021277e-01
1.5000000000000000e+02,-1.6044370860927151e+00,1.5979674575676619e+01,2.7705298013245033e-01,1.8718579009692558e+01,2.7698675496688741e-01
1.6000000000000000e+02,-1.6249689440993789e+00,1.7563291539678321e+01,3.1962732919254661e-01,2.8522056247829948e+01,3.1956521739130433e-01
1.7000000000000000e+02,-1.6464327485380117e+00,1.9505319243528064e+01,3.5929824561403506e-01,3.6989393659587570e+01,3.5923976608187130e-01
1.8000000000000000e+02,-1.6657458563535912e+00,2.0980385214126581e+01,3.9464088397790059e-01,4.3489727419797916e+01,3.9458563535911600e-01
1.9000000000000000e+02,-1.6829842931937173e+00,2.2035599901318346e+01,4.2625654450261780e-01,4.8449734930511774e+01,4.2620418848167541e-01
2.0000000000000000e+02,-1.6985572139303482e+00,2.2793396203064184e+01,4.5475124378109455e-01,5.2242661815301581e+01,4.5470149253731340e-01
2.1000000000000000e+02,-1.7126540284360190e+00,2.3312063969812005e+01,4.8054502369668251e-01,5.5115947530378911e+01,4.8049763033175352e-01
2.2000000000000000e+02,-1.7252941176470589e+00,2.3607431461272355e+01,5.0395927601809953e-01,5.7249159517618409e+01,5.0391402714932132e-01
2.3000000000000000e+02,-1.7369264069264068e+00,2.3783061037087172e+01,5.2536796536796537e-01,5.8822586533235878e+01,5.2532467532467531e-01
2.4000000000000000e+02,-1.7478423236514522e+00,2.3897224910039657e+01,5.4506224066390041e-01,5.9965683097742819e+01,5.4502074688796687e-01
2.5000000000000000e+02,-1.7578884462151394e+00,2.3918057173695853e+01,5.6318725099601596e-01,6.0743506293550908e+01,5.6314741035856575e-01
2.6000000000000000e+02,-1.7670881226053641e+00,2.3851934058513436e+01,5.7990421455938690e-01,6.1221950353048250e+01,5.7986590038314179e-01
2.7000000000000000e+02,-1.7755350553505533e+00,2.3717634563799802e+01,5.9536900369003687e-01,6.1459724132296685e+01,5.9533210332103326e-01
2.8000000000000000e+02,-1.7834519572953738e+00,2.3553525411278823e+01,6.0975088967971525e-01,6.1514708273704727e+01,6.0971530249110328e-01
2.9000000000000000e+02,-1.7908934707903779e+00,2.3366553536212450e+01,6.2316151202749137e-01,6.1422256232212661e+01,6.2312714776632305e-01
3.0000000000000000e+02,-1.7978405315614616e+00,2.3152021721614730e+01,6.3568106312292361e-01,6.1206093530976489e+01,6.3564784053156143e-01
3.1000000000000000e+02,-1.8040836012861738e+00,2.2879117461564601e+01,6.4733118971061088e-01,6.0872327829530334e+01,6.4729903536977484e-01
3.2000000000000000e+02,-1.8100623052959504e+00,2.2611836453450522e+01,6.5828660436137065e-01,6.0469106083986006e+01,6.5825545171339572e-01
3.3000000000000000e+02,-1.8158006042296071e+00,2.2351495879008436e+01,6.6861027190332323e-01,6.0010707824864731e+01,6.6858006042296070e-01
3.4000000000000000e+02,-1.8212023460410558e+00,2.2082354296918492e+01,6.7832844574780049e-01,5.9501287054634922e+01,6.7829912023460404e-01
3.5000000000000000e+02,-1.8262393162393160e+00,2.1799699028417237e+01,6.8747863247863250e-01,5.8948140843012624e+01,6.8745014245014247e-01
3.6000000000000000e+02,-1.8309972299168975e+00,2.1514062046791949e+01,6.9612188365650962e-01,5.8364122589605685e+01,6.9609418282548474e-01
3.7000000000000000e+02,-1.8355525606469001e+00,2.1233813180665894e+01,7.0431266846361185e-01,5.7759730167609959e+01,7.0428571428571429e-01
3.8000000000000000e+02,-1.8398162729658794e+00,2.0946653164417366e+01,7.1206036745406820e-01,5.7134548673541794e+01,7.1203412073490813e-01
3.9000000000000000e+02,-1.8438618925831201e+00,2.0660735081534074e+01,7.1941176470588231e-01,5.6496945990672501e+01,7.1938618925831210e-01
4.0000000000000000e+02,-1.8475311720698255e+00,2.0357362454213433e+01,7.2634663341645889e-01,5.5840322012922805e+01,7.2632169576059846e-01
4.1000000000000000e+02,-1.8512408759124088e+00,2.0082790416821954e+01,7.3300486618004868e-01,5.5192763007559734e+01,7.3298053527980545e-01
4.2000000000000000e+02,-1.8546793349168647e+00,1.9800742717542452e+01,7.3932304038004748e-01,5.4538082723523367e+01,7.3929928741092643e-01
4.3000000000000000e+02,-1.8579582366589327e+00,1.9522972852213424e+01,7.4534802784222731e-01,5.3884035077330594e+01,7.4532482598607885e-01
4.4000000000000000e+02,-1.8610884353741497e+00,1.9249775556481037e+01,7.5109977324263044e-01,5.3232554748278744e+01,7.5107709750566898e-01
4.5000000000000000e+02,-1.8641685144124167e+00,1.8990299949361361e+01,7.5661862527716184e-01,5.2589506344609944e+01,7.5659645232815964e-01
4.6000000000000000e+02,-1.8670715835140999e+00,1.8730712917782075e+01,7.6188720173535784e-01,5.1949508142724774e+01,7.6186550976138834e-01
4.7000000000000000e+02,-1.8698089171974521e+00,1.8471747603013064e+01,7.6692144373673032e-01,5.1313916002902985e+01,7.6690021231422500e-01
4.8000000000000000e+02,-1.8725155925155925e+00,1.8225743145992748e+01,7.7176715176715183e-01,5.0689478520580415e+01,7.7174636174636180e-01
4.9000000000000000e+02,-1.8751120162932791e+00,1.7984251600084534e+01,7.7641547861507132e-01,5.0072823822698552e+01,7.7639511201629330e-01
5.0000000000000000e+02,-1.8775648702594809e+00,1.7743735841689922e+01,7.8086826347305394e-01,4.9462792259791783e+01,7.8084830339321354e-01
