# $ ./project4 -L 20 -E 2.4 -c 1E4 -s 0
c,E,CV,Mabs,Chi,M
0.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+01,-1.5863636363636362e+00,2.8134756657484306e+00,8.4727272727272729e-01,1.3608815426997050e+00,8.4727272727272729e-01
2.0000000000000000e+01,-1.4785714285714286e+00,2.6701625094482200e+00,7.9261904761904756e-01,1.4875472411186670e+00,7.9261904761904756e-01
3.0000000000000000e+01,-1.4332258064516128e+00,2.1959619609203602e+00,7.6419354838709674e-01,1.3336281651057866e+00,7.6419354838709674e-01
4.0000000000000000e+01,-1.4075609756097560e+00,1.8491803820477346e+00,7.4439024390243902e-01,1.2417063255998377e+00,7.4439024390243902e-01
5.0000000000000000e+01,-1.3615686274509804e+00,2.1610491691229878e+00,7.0245098039215692e-01,2.2681981289247539e+00,7.0245098039215692e-01
6.0000000000000000e+01,-1.3445901639344262e+00,1.9466242646839318e+00,6.8475409836065582e-01,2.2388560422825323e+00,6.8475409836065582e-01
7.0000000000000000e+01,-1.3425352112676057e+00,1.7153204831492732e+00,6.8823943661971820e-01,1.9779458440785678e+00,6.8823943661971820e-01
8.0000000000000000e+01,-1.3486419753086420e+00,1.5589425731172419e+00,6.9790123456790132e-01,1.8684016664126377e+00,6.9790123456790132e-01
9.0000000000000000e+01,-1.3589010989010990e+00,1.5014423915522710e+00,7.0703296703296703e-01,1.8216097089723464e+00,7.0703296703296703e-01
1.0000000000000000e+02,-1.3598019801980197e+00,1.4135011273404465e+00,7.1014851485148511e-01,1.6808131555729842e+00,7.1014851485148511e-01
1.1000000000000000e+02,-1.3547747747747747e+00,1.3385694252811693e+00,7.0459459459459450e-01,1.6708059410762419e+00,7.0459459459459450e-01
1.2000000000000000e+02,-1.3477685950413223e+00,1.3748264007467446e+00,6.9458677685950421e-01,1.8839935796735063e+00,6.9458677685950421e-01
1.3000000000000000e+02,-1.3604580152671755e+00,1.4356300461641038e+00,7.0362595419847329e-01,1.9404614144474939e+00,7.0362595419847329e-01
1.4000000000000000e+02,-1.3640425531914895e+00,1.3793320255520283e+00,7.0411347517730494e-01,1.8556314236373206e+00,7.0411347517730494e-01
1.5000000000000000e+02,-1.3718543046357616e+00,1.3655632793883494e+00,7.0976821192052986e-01,1.8316963437276172e+00,7.0976821192052986e-01
1.6000000000000000e+02,-1.3775155279503104e+00,1.3530047494738382e+00,7.1487577639751554e-01,1.8126785875030693e+00,7.1487577639751554e-01
1.7000000000000000e+02,-1.3766666666666665e+00,1.3010883690708397e+00,7.1380116959064321e-01,1.7444242102983329e+00,7.1380116959064321e-01
1.8000000000000000e+02,-1.3783425414364641e+00,1.3518657007485269e+00,7.1577348066298341e-01,1.7724601406143545e+00,7.1577348066298341e-01
1.9000000000000000e+02,-1.3752356020942409e+00,1.3237945018563551e+00,7.1280104712041892e-01,1.7629375565362657e+00,7.1280104712041892e-01
2.0000000000000000e+02,-1.3748756218905474e+00,1.2898776570436894e+00,7.1360696517412936e-01,1.7172553484649749e+00,7.1360696517412936e-01
2.1000000000000000e+02,-1.3767298578199052e+00,1.2467889685017579e+00,7.1248815165876778e-01,1.6671158928745322e+00,7.1248815165876778e-01
2.2000000000000000e+02,-1.3749773755656107e+00,1.2321910780787626e+00,7.1083710407239820e-01,1.6421343406837119e+00,7.1083710407239820e-01
2.3000000000000000e+02,-1.3809523809523809e+00,1.2398961268008861e+00,7.1528138528138530e-01,1.6476960389298105e+00,7.1528138528138530e-01
2.4000000000000000e+02,-1.3745228215767633e+00,1.2740232032277212e+00,7.1116182572614106e-01,1.6622231596104333e+00,7.1116182572614106e-01
2.5000000000000000e+02,-1.3700796812749005e+00,1.2765046498379888e+00,7.0605577689243038e-01,1.7223739834817176e+00,7.0605577689243038e-01
2.6000000000000000e+02,-1.3683524904214559e+00,1.2871944366967858e+00,7.0323754789272030e-01,1.7536010677079503e+00,7.0323754789272030e-01
2.7000000000000000e+02,-1.3666051660516603e+00,1.2547859657563549e+00,7.0204797047970469e-01,1.7058046595226188e+00,7.0204797047970469e-01
2.8000000000000000e+02,-1.3615658362989325e+00,1.2748396184332604e+00,6.9670818505338072e-01,1.8210735890714056e+00,6.9670818505338072e-01
2.9000000000000000e+02,-1.3535051546391754e+00,1.3713785658333109e+00,6.8336769759450178e-01,2.6074453931027315e+00,6.8336769759450178e-01
3.0000000000000000e+02,-1.3439534883720929e+00,1.5185020646080778e+00,6.6843853820598009e-01,3.6094773604411787e+00,6.6843853820598009e-01
3.1000000000000000e+02,-1.3357234726688103e+00,1.6295579266366582e+00,6.5847266881028943e-01,3.9951497951151547e+00,6.5847266881028943e-01
3.2000000000000000e+02,-1.3295638629283488e+00,1.6714994247166335e+00,6.4915887850467291e-01,4.3724937160935955e+00,6.4915887850467291e-01
3.3000000000000000e+02,-1.3240181268882176e+00,1.6990088727842099e+00,6.3805135951661629e-01,4.9294904969225710e+00,6.3805135951661629e-01
3.4000000000000000e+02,-1.3181231671554252e+00,1.7377807972831962e+00,6.3002932551319646e-01,5.1547163767081505e+00,6.3002932551319646e-01
3.5000000000000000e+02,-1.3157834757834757e+00,1.7038144080720992e+00,6.2925925925925918e-01,5.0157917414090285e+00,6.2925925925925918e-01
3.6000000000000000e+02,-1.3128531855955681e+00,1.6835874920814906e+00,6.2734072022160670e-01,4.9030688326005176e+00,6.2734072022160670e-01
3.7000000000000000e+02,-1.3135040431266847e+00,1.6471332629408710e+00,6.2692722371967657e-01,4.7810408962445763e+00,6.2692722371967657e-01
3.8000000000000000e+02,-1.3108661417322836e+00,1.6307258262664721e+00,6.2444881889763781e-01,4.7047393928121286e+00,6.2444881889763781e-01
3.9000000000000000e+02,-1.3094117647058823e+00,1.6079789545826773e+00,6.2244245524296671e-01,4.6185176706065558e+00,6.2244245524296671e-01
4.0000000000000000e+02,-1.3083790523690775e+00,1.5764835106746582e+00,6.1861596009975062e-01,4.6112247954511076e+00,6.1861596009975062e-01
4.1000000000000000e+02,-1.3087104622871046e+00,1.5553555935746317e+00,6.1712895377128951e-01,4.5212944709854588e+00,6.1712895377128951e-01
4.2000000000000000e+02,-1.3070546318289786e+00,1.5406023593738307e+00,6.1535629453681706e-01,4.4637555644574380e+00,6.1535629453681706e-01
4.3000000000000000e+02,-1.3044779582366590e+00,1.5677135764055190e+00,6.1120649651972159e-01,4.4977659017052396e+00,6.1120649651972159e-01
4.4000000000000000e+02,-1.3023582766439910e+00,1.5690267372591127e+00,6.0965986394557825e-01,4.4156458728616146e+00,6.0965986394557825e-01
4.5000000000000000e+02,-1.3038137472283813e+00,1.5531904956219731e+00,6.1180709534368072e-01,4.3610872939005576e+00,6.1180709534368072e-01
