# $ ../../source/project4 -R 2.25 .01 -l 80 -e 2e5 -c 2e5 2.35
T,E,CV,Mabs,Chi,M
2.2500000000000000e+00,-1.4600369779401103e+00,2.1253030201613350e+00,6.6074564158429216e-01,4.0271598521807853e+01,-3.9323846037019811e-01
2.2599999999999998e+00,-1.4391743260033700e+00,2.2843406801391715e+00,6.0933559707201457e-01,6.9618719370836615e+01,6.0638272746136268e-01
2.2700000000000000e+00,-1.4200386873065634e+00,2.2725198375067190e+00,5.7980891345543273e-01,7.1085279607764832e+01,-6.3687453437732813e-02
2.2799999999999998e+00,-1.3907661055444722e+00,2.3645395335668282e+00,4.8518789124804379e-01,1.0180258671602255e+02,-3.2656874996875018e-01
2.2900000000000000e+00,-1.3737050220998896e+00,2.1741800322406313e+00,4.6290704640226799e-01,8.6914069884878501e+01,9.2112931622841898e-02
2.2999999999999998e+00,-1.3496538486057572e+00,2.1139768933712744e+00,3.8326742272538639e-01,9.6399333898281199e+01,-1.3339885644321778e-01
2.3100000000000001e+00,-1.3306986871315645e+00,1.9986070398438955e+00,3.1436018601156995e-01,9.8549967655404416e+01,-4.8426537554812230e-02
2.3199999999999998e+00,-1.3149195566522167e+00,1.7869883124851995e+00,3.0268526782366090e-01,8.1265199271734716e+01,-1.7473068884655576e-02
2.3300000000000001e+00,-1.2973377695611521e+00,1.6448874882082016e+00,2.5476694960275198e-01,7.1595890975036923e+01,-2.6257989022554887e-02
2.3399999999999999e+00,-1.2811962752686237e+00,1.5205511857403031e+00,2.2290183392833035e-01,5.8457462423892913e+01,-6.9645761146194278e-03
2.3500000000000001e+00,-1.2648383851830740e+00,1.3892992278506187e+00,1.8251830772096139e-01,4.5410418097594359e+01,7.7876594992025037e-03
