# $ ../../source/project4 -R 2.27 .002 -l 100 -c 1e6 2.29
T,E,CV,Mabs,Chi,M
2.2700000000000000e+00,-1.4175946804053197e+00,2.5230714623386357e+00,5.5033621166378832e-01,1.2738342438822359e+02,-1.6916195723804275e-01
2.2719999999999998e+00,-1.4147982240017760e+00,2.3787882853554057e+00,5.6047692592307408e-01,9.1373558482411980e+01,-4.0682460517539480e-02
2.2740000000000000e+00,-1.4094619469380529e+00,2.4962249295048173e+00,5.3679488540511455e-01,1.1902010994225120e+02,-8.9888020711979294e-02
2.2759999999999998e+00,-1.4032210487789512e+00,2.5301334130242625e+00,5.0901949718050277e-01,1.3455007617830501e+02,-1.0939149120850880e-01
2.2780000000000000e+00,-1.3961739538260460e+00,2.5742470544035756e+00,4.7254411225588772e-01,1.5732317176109933e+02,7.2417331582668408e-03
2.2799999999999998e+00,-1.3930604321395679e+00,2.4768035105636268e+00,4.7500633379366619e-01,1.5038920716519226e+02,1.8763223636776363e-02
2.2820000000000000e+00,-1.3901096938903061e+00,2.4617004116772021e+00,4.6997511062488939e-01,1.5360973488491186e+02,-9.7835570764429239e-02
2.2839999999999998e+00,-1.3829866850133150e+00,2.4156093596560888e+00,4.4688376591623408e-01,1.4136769129038331e+02,5.2600886599113404e-02
2.2860000000000000e+00,-1.3782072393927607e+00,2.4394951019143423e+00,4.2654255225744775e-01,1.6006555233179500e+02,-3.9348832651167351e-03
2.2879999999999998e+00,-1.3760650607349394e+00,2.3535513612854579e+00,4.3111183948816051e-01,1.4523914010874617e+02,-1.0970661629338371e-02
2.2900000000000000e+00,-1.3707292788707210e+00,2.3771784539207119e+00,4.0999198060801939e-01,1.5570888844853212e+02,1.6421967838032162e-01
