# $ ../../source/project4 -P 1 -l 20 -e 1e3 -c 1e6 -b 200
# Evar=0.0249494
E,n,p
-2.0000000000000000e+00,8.6980200000000000e+05,8.6980200000417429e-01
-1.9800000000000000e+00,1.2127000000000000e+05,1.2127000000010062e-01
-1.9600000000000000e+00,8.5030000000000000e+03,8.5030000000002048e-03
-1.9399999999999999e+00,4.0900000000000000e+02,4.0900000000000344e-04
-1.9199999999999999e+00,1.6000000000000000e+01,1.6000000000000003e-05
-1.8999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8599999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8400000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.7800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.7600000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.7400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.7200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.7000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.6799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.6599999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.6400000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.6200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.6000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.5800000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.5600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.5400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.5200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.4800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.4600000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.4399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.4199999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.3999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.3799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.3599999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.3399999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.3199999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2999999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2600000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.2000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.1799999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.1600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.1400000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.1200000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.1000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.0800000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.0600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.0400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.0200000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.7999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00
-9.5999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
-9.3999999999999995e-01,0.0000000000000000e+00,0.0000000000000000e+00
-9.1999999999999993e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.9999999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.7999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.5999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.4000000000000008e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00
-8.0000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00
-7.8000000000000003e-01,0.0000000000000000e+00,0.0000000000000000e+00
-7.6000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00
-7.3999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00
-7.1999999999999997e-01,0.0000000000000000e+00,0.0000000000000000e+00
-6.9999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
-6.7999999999999994e-01,0.0000000000000000e+00,0.0000000000000000e+00
-6.5999999999999992e-01,0.0000000000000000e+00,0.0000000000000000e+00
-6.3999999999999990e-01,0.0000000000000000e+00,0.0000000000000000e+00
-6.1999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.9999999999999987e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.8000000000000007e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.6000000000000005e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.4000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.2000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00
-4.7999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00
-4.5999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
-4.3999999999999995e-01,0.0000000000000000e+00,0.0000000000000000e+00
-4.1999999999999993e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.9999999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.7999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.5999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.3999999999999986e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.0000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00
-2.8000000000000003e-01,0.0000000000000000e+00,0.0000000000000000e+00
-2.6000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00
-2.3999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00
-2.1999999999999997e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.9999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.7999999999999994e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.5999999999999992e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.3999999999999990e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.1999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
-9.9999999999999867e-02,0.0000000000000000e+00,0.0000000000000000e+00
-8.0000000000000071e-02,0.0000000000000000e+00,0.0000000000000000e+00
-6.0000000000000053e-02,0.0000000000000000e+00,0.0000000000000000e+00
-4.0000000000000036e-02,0.0000000000000000e+00,0.0000000000000000e+00
-2.0000000000000018e-02,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0000000000000018e-02,0.0000000000000000e+00,0.0000000000000000e+00
4.0000000000000036e-02,0.0000000000000000e+00,0.0000000000000000e+00
6.0000000000000053e-02,0.0000000000000000e+00,0.0000000000000000e+00
8.0000000000000071e-02,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000009e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.2000000000000011e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.4000000000000012e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.6000000000000014e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.8000000000000016e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.0000000000000018e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.2000000000000020e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.4000000000000021e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.6000000000000023e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.8000000000000025e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.0000000000000027e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.1999999999999984e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.3999999999999986e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.5999999999999988e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.7999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.9999999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.1999999999999993e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.3999999999999995e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.5999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.7999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.2000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.4000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00
