# $ ../../source/project4 -P 2.4 -l 20 -e 1e3 -c 1e5 -b 40
# Evar=8.26999
E,n,p
-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-1.8999999999999999e+00,3.0000000000000000e+00,3.0000000000000004e-05
-1.8000000000000000e+00,5.6000000000000000e+01,5.6000000000000082e-04
-1.7000000000000000e+00,8.5800000000000000e+02,8.5799999999998187e-03
-1.6000000000000001e+00,3.1170000000000000e+03,3.1169999999998900e-02
-1.5000000000000000e+00,9.4290000000000000e+03,9.4289999999996141e-02
-1.3999999999999999e+00,2.0484000000000000e+04,2.0484000000006408e-01
-1.2999999999999998e+00,2.3498000000000000e+04,2.3498000000009422e-01
-1.2000000000000000e+00,2.6793000000000000e+04,2.6793000000012718e-01
-1.1000000000000001e+00,1.1756000000000000e+04,1.1755999999998712e-01
-1.0000000000000000e+00,3.6120000000000000e+03,3.6120000000000388e-02
-8.9999999999999991e-01,3.8000000000000000e+02,3.8000000000000091e-03
-7.9999999999999982e-01,1.3000000000000000e+01,1.3000000000000002e-04
-6.9999999999999996e-01,1.0000000000000000e+00,1.0000000000000001e-05
-5.9999999999999987e-01,0.0000000000000000e+00,0.0000000000000000e+00
-5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00
-3.9999999999999991e-01,0.0000000000000000e+00,0.0000000000000000e+00
-2.9999999999999982e-01,0.0000000000000000e+00,0.0000000000000000e+00
-1.9999999999999996e-01,0.0000000000000000e+00,0.0000000000000000e+00
-9.9999999999999867e-02,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000009e-01,0.0000000000000000e+00,0.0000000000000000e+00
2.0000000000000018e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.0000000000000027e-01,0.0000000000000000e+00,0.0000000000000000e+00
4.0000000000000036e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.0000000000000009e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.0000000000000018e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.0000000000000027e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.0000000000000036e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2000000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3000000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.4000000000000004e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.6000000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7000000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.8000000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9000000000000004e+00,0.0000000000000000e+00,0.0000000000000000e+00
